S.No.,Br,Course Name/Group Name,Credits,Instructor,Time,Venue,Time,Venue,Time,Venue
1,AE,INTRODUCTION TO AEROSPACE ENGINEERING(AE201M),3-0-0-0(5),"ASHOKE  DE (I), ABHISHEK   (O)",M (L05) W (L05)  17:00-18:00,L05,F (L05)  17:00-18:00,L05,,
2,AE,DYNAMICS(AE209),2-1-0-0(8),SANJAY  KUMAR (I),M (DJAB(206H)) W (DJAB(206H))  12:00-13:00,DJAB(206H),F (DJAB(206H))  12:00-13:00,DJAB(206H),,
3,AE,COMPRESSIBLE AERODYNAMICS(AE311A),3-0-0-0(9),Arun  Perumal(I),"M (L14) F (L14)  08:00-09:00 ,T (L14)  09:00-10:00",L14,,,,
4,AE,FLIGHT MECHANICS(AE321A),3-0-0-0(9),Subrahmanyam Saderla(I),T (L06) W (L06) F (L06)  16:00-17:00,L06,,,,
5,AE,INTRODUCTION TO AEROSPACE STRUCTURES(AE331A),3-0-0-0(9),C S  UPADHYAY   (I),"W (L09) F (L09)  14:00-15:00 ,T (L09)  17:00-18:00",L09,,,,
6,AE,B TECH PROJECT 1(AE371A),0-0-0-0(4),DUGCAE (I),,,,,,
7,AE,TECHNICAL COMMUNICATION(AE401A),0-0-2-2(2),VAIBHAV  KUMAR  ARGHODE (I),,,,,T (L05)  10:00-12:00,L05
8,AE,ROCKET PROPULSION(AE441A),3-0-0-0(5),VAIBHAV  KUMAR  ARGHODE (I),T (L13) W (L13)  08:00-09:00,L13,Th (L13)  08:00-09:00,L13,,
9,AE,EXPERIMENTS IN AEROSPACE ENGINEERING III(AE451A),0-0-3-2(5),"Gopalakrishna M Kamath   (I), Rajesh Ranjan(O), Tufan Guha(O)",,,,,M 14:00-17:00,
10,AE,AIRCRAFT DESIGN-I(AE461A),1-0-2-2(7),"Subrahmanyam Saderla(I), Raghavendra  Kukillaya(O)",F (L05)  15:00-16:00,L05,,,Th (Design Room (Air strip))  14:00-16:00,Design Room (Air strip)
11,AE,B TECH PROJECT(AE471A),0-0-0-0(9),DUGCAE (I),,,,,,
12,AE,UNDERGRADUATE PROJECT III(AE472A),3-0-0-0(9),DUGCAE (I),,,,,,
13,AE,INTRO TO AEROSPACE ENGG.(AE601),3-0-0-0(9),"ABHIJIT  KUSHARI   (I), DEBOPAM  DAS   (O)",M (L08) Th (L08)  12:00-13:15,L08,,,,
14,AE,INTRO TO AEROSPACE ENGG.(AE601A),3-0-0-0(9),"ABHIJIT  KUSHARI   (I), DEBOPAM  DAS   (O)",MTh 12:00-13:15,,,,,
15,AE,MATHEMATICS FOR AEROSPACE ENGG.(AE602),3-0-0-0(9),Dipak  Giri(I),TWTh 08:00-09:00,,,,,
16,AE,MATHEMATICS FOR AEROSPACE ENGG.(AE602A),3-0-0-0(9),Dipak  Giri(I),T (L05) W (L05) Th (L05)  08:00-09:00,L05,,,,
17,AE,UNSTEADY GAS DYNAMICS(AE606),3-0-0-0(9),SANJAY  KUMAR (I),W (Helicopter building) F (Helicopter building)  10:30-12:00,Helicopter building,,,,
18,AE,UNSTEADY GAS DYNAMICS(AE606A),3-0-0-0(9),SANJAY  KUMAR (I),WF 10:30-12:00,,,,,
19,AE,HEAT TRANSFER IN AEROSPACE APPLICATIONS(AE608),3-0-0-0(9),RAKESH  KUMAR (I),W (EEM117) F (EEM117)  10:30-12:00,EEM117,,,,
20,AE,HEAT TRANSFER IN AEROSPACE APPLICATIONS(AE608A),3-0-0-0(9),RAKESH  KUMAR (I),WF 10:30-12:00,,,,,
21,AE,AERODYNAMICS-I(AE610),3-0-0-0(9),Arnab Samanta(I),WF 12:00-13:15,,,,,
22,AE,AERODYNAMICS-I(AE610A),3-0-0-0(9),Arnab Samanta(I),W (EEM117) F (EEM117)  12:00-13:15,EEM117,,,,
23,AE,VISCOUS FLOWS(AE614),3-0-0-0(9),KAMAL  PODDAR   (I),TTh 15:30-17:00,,,,,
24,AE,VISCOUS FLOWS(AE614A),3-0-0-0(9),KAMAL  PODDAR   (I),T (NWTF Class room) Th (NWTF Class room)  15:30-17:00,NWTF Class room,,,,
25,AE,BOUNDARY LAYER INSTABILITY AND TRANSITION(AE617),3-0-0-0(9),Navrose (I),WF 17:00-18:30,,,,,
26,AE,BOUNDARY LAYER INSTABILITY AND TRANSITION(AE617A),3-0-0-0(9),Navrose (I),W (Helicopter building) F (Helicopter building)  17:00-18:30,Helicopter building,,,,
27,AE,SPORTS AERODYNAMICS(AE643),3-0-0-0(9),SANJAY  MITTAL   (I),M (NWTF Class room) Th (NWTF Class room)  10:30-12:00,NWTF Class room,,,,
