Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
INTRODUCTION TO AEROSPACE ENGINEERING(AE201M),3-0-0-0(5),"ASHOKE  DE (I), ABHISHEK   (O)",M (L05) W (L05)  17:00-18:00,F (L05)  17:00-18:00,,M,W,,,,,,,17:00 PM,18:00 PM,F,,,,17:00 PM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,18:00 PM,,,,,,,,,,,AE201M
DYNAMICS(AE209),2-1-0-0(8),SANJAY  KUMAR (I),M (DJAB(206H)) W (DJAB(206H))  12:00-13:00,F (DJAB(206H))  12:00-13:00,,M,W,,,,,,,12:00 PM,13:00 PM,F,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,,,,,,,,,,,AE209
COMPRESSIBLE AERODYNAMICS(AE311A),3-0-0-0(9),Arun  Perumal(I),"M (L14) F (L14)  08:00-09:00 ,T (L14)  09:00-10:00",,,M,F,,T,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,10:00 AM,10:00 AM,,,,,,,AE311A
FLIGHT MECHANICS(AE321A),3-0-0-0(9),Subrahmanyam Saderla(I),T (L06) W (L06) F (L06)  16:00-17:00,,,T,W,F,,,,,,,,,,,,16:00 PM,16:00 PM,16:00 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,AE321A
INTRODUCTION TO AEROSPACE STRUCTURES(AE331A),3-0-0-0(9),C S  UPADHYAY   (I),"W (L09) F (L09)  14:00-15:00 ,T (L09)  17:00-18:00",,,W,F,,T,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,15:00 PM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,AE331A
B TECH PROJECT 1(AE371A),0-0-0-0(4),DUGCAE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE371A
TECHNICAL COMMUNICATION(AE401A),0-0-2-2(2),VAIBHAV  KUMAR  ARGHODE (I),,,T (L05)  10:00-12:00,,,,,,,,,,,,T,1,None,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,10:00 AM,10:00 AM,10:00 AM,AE401A
ROCKET PROPULSION(AE441A),3-0-0-0(5),VAIBHAV  KUMAR  ARGHODE (I),T (L13) W (L13)  08:00-09:00,Th (L13)  08:00-09:00,,T,W,,,,,,,8:00 AM,9:00 AM,T,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,AE441A
EXPERIMENTS IN AEROSPACE ENGINEERING III(AE451A),0-0-3-2(5),"Gopalakrishna M Kamath   (I), Rajesh Ranjan(O), Tufan Guha(O)",,,M 14:00-17:00,,,,,,,,,,,,M,1,None,,,,,,,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,AE451A
AIRCRAFT DESIGN-I(AE461A),1-0-2-2(7),"Subrahmanyam Saderla(I), Raghavendra  Kukillaya(O)",F (L05)  15:00-16:00,,Th (Design Room (Air strip))  14:00-16:00,F,1,,,,,,,,,,T,h,,15:00 PM,15:00 PM,15:00 PM,16:00 PM,16:00 PM,16:00 PM,,,,,4:00 PM,4:00 PM,4:00 PM,2:00 PM,2:00 PM,2:00 PM,AE461A
B TECH PROJECT(AE471A),0-0-0-0(9),DUGCAE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE471A
UNDERGRADUATE PROJECT III(AE472A),3-0-0-0(9),DUGCAE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE472A
INTRO TO AEROSPACE ENGG.(AE601),3-0-0-0(9),"ABHIJIT  KUSHARI   (I), DEBOPAM  DAS   (O)",M (L08) Th (L08)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,AE601
INTRO TO AEROSPACE ENGG.(AE601A),3-0-0-0(9),"ABHIJIT  KUSHARI   (I), DEBOPAM  DAS   (O)",MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,AE601A
MATHEMATICS FOR AEROSPACE ENGG.(AE602),3-0-0-0(9),Dipak  Giri(I),TWTh 08:00-09:00,,,T,W,Th,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,AE602
MATHEMATICS FOR AEROSPACE ENGG.(AE602A),3-0-0-0(9),Dipak  Giri(I),T (L05) W (L05) Th (L05)  08:00-09:00,,,T,W,Th,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,AE602A
UNSTEADY GAS DYNAMICS(AE606),3-0-0-0(9),SANJAY  KUMAR (I),W (Helicopter building) F (Helicopter building)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE606
UNSTEADY GAS DYNAMICS(AE606A),3-0-0-0(9),SANJAY  KUMAR (I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE606A
