,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
0,INTRODUCTION TO AEROSPACE ENGINEERING(AE201M),3-0-0-0(5),"ASHOKE  DE (I), ABHISHEK   (O)",M (L05) W (L05)  17:00-18:00,F (L05)  17:00-18:00,,M,W,,17:00 PM,18:00 PM,,,,,,,,17:00 PM,18:00 PM,F
1,DYNAMICS(AE209),2-1-0-0(8),SANJAY  KUMAR (I),M (DJAB(206H)) W (DJAB(206H))  12:00-13:00,F (DJAB(206H))  12:00-13:00,,M,W,,12:00 PM,13:00 PM,,,,,,,,12:00 PM,13:00 PM,F
2,COMPRESSIBLE AERODYNAMICS(AE311A),3-0-0-0(9),Arun  Perumal(I),"M (L14) F (L14)  08:00-09:00 ,T (L14)  09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
3,FLIGHT MECHANICS(AE321A),3-0-0-0(9),Subrahmanyam Saderla(I),T (L06) W (L06) F (L06)  16:00-17:00,,,T,W,F,16:00 PM,17:00 PM,,,,,,,,,,
4,INTRODUCTION TO AEROSPACE STRUCTURES(AE331A),3-0-0-0(9),C S  UPADHYAY   (I),"W (L09) F (L09)  14:00-15:00 ,T (L09)  17:00-18:00",,,W,F,,14:00 PM,15:00 PM,T,,17:00 PM,18:00 PM,,,,,,
5,B TECH PROJECT 1(AE371A),0-0-0-0(4),DUGCAE (I),,,,,,,,,,,,,,,,,,
6,TECHNICAL COMMUNICATION(AE401A),0-0-2-2(2),VAIBHAV  KUMAR  ARGHODE (I),,,T (L05)  10:00-12:00,,,,,,,,,,,,,,,
7,ROCKET PROPULSION(AE441A),3-0-0-0(5),VAIBHAV  KUMAR  ARGHODE (I),T (L13) W (L13)  08:00-09:00,Th (L13)  08:00-09:00,,T,W,,8:00 AM,9:00 AM,,,,,,,,08:00 AM,09:00 AM,T
8,EXPERIMENTS IN AEROSPACE ENGINEERING III(AE451A),0-0-3-2(5),"Gopalakrishna M Kamath   (I), Rajesh Ranjan(O), Tufan Guha(O)",,,M 14:00-17:00,,,,,,,,,,,,,,,
9,AIRCRAFT DESIGN-I(AE461A),1-0-2-2(7),"Subrahmanyam Saderla(I), Raghavendra  Kukillaya(O)",F (L05)  15:00-16:00,,Th (Design Room (Air strip))  14:00-16:00,F,1,,15:00 PM,16:00 PM,,,,,,,,,,
10,B TECH PROJECT(AE471A),0-0-0-0(9),DUGCAE (I),,,,,,,,,,,,,,,,,,
11,UNDERGRADUATE PROJECT III(AE472A),3-0-0-0(9),DUGCAE (I),,,,,,,,,,,,,,,,,,
12,INTRO TO AEROSPACE ENGG.(AE601),3-0-0-0(9),"ABHIJIT  KUSHARI   (I), DEBOPAM  DAS   (O)",M (L08) Th (L08)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
13,INTRO TO AEROSPACE ENGG.(AE601A),3-0-0-0(9),"ABHIJIT  KUSHARI   (I), DEBOPAM  DAS   (O)",MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
14,MATHEMATICS FOR AEROSPACE ENGG.(AE602),3-0-0-0(9),Dipak  Giri(I),TWTh 08:00-09:00,,,T,W,Th,8:00 AM,9:00 AM,,,,,,,,,,
15,MATHEMATICS FOR AEROSPACE ENGG.(AE602A),3-0-0-0(9),Dipak  Giri(I),T (L05) W (L05) Th (L05)  08:00-09:00,,,T,W,Th,8:00 AM,9:00 AM,,,,,,,,,,
16,UNSTEADY GAS DYNAMICS(AE606),3-0-0-0(9),SANJAY  KUMAR (I),W (Helicopter building) F (Helicopter building)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
17,UNSTEADY GAS DYNAMICS(AE606A),3-0-0-0(9),SANJAY  KUMAR (I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
18,HEAT TRANSFER IN AEROSPACE APPLICATIONS(AE608),3-0-0-0(9),RAKESH  KUMAR (I),W (EEM117) F (EEM117)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
19,HEAT TRANSFER IN AEROSPACE APPLICATIONS(AE608A),3-0-0-0(9),RAKESH  KUMAR (I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
20,AERODYNAMICS-I(AE610),3-0-0-0(9),Arnab Samanta(I),WF 12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
21,AERODYNAMICS-I(AE610A),3-0-0-0(9),Arnab Samanta(I),W (EEM117) F (EEM117)  12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
22,VISCOUS FLOWS(AE614),3-0-0-0(9),KAMAL  PODDAR   (I),TTh 15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
